Research Question,Variable Category,Variable Name,Data  Source ,Data Source Year,Raw Data,Raw Data Code,Raw Data Calculations,Final Variable ,Data Type,Sample Data- Albuquerque,Sample Data- Charlotte,Units
,,Diagnosed Diabetes,"500 Cities Project- CDC and Robert Wood Johnson Foundation, City Health Dashboard","Annual, 2014-2017",Have you ever been told by a doctor that you have diabetes?,"BRFSS Q6.12, CHDB metric_number=6",Taken from BRFSS Prevalence & Trends Data ,"Percent of respondents aged ?18 years who reported having diabetes, age-adjusted prevalence",ratio,8.2,10.2,%
,,Body Weight,"500 Cities Project- CDC and Robert Wood Johnson Foundation, City Health Dashboard","Annual, 2014-2017",Height and weight,BRFSS Q8.19 & Q8.20; CHDB metric_number=17 for obesity,Taken from BRFSS Prevalence & Trends Data ,"Percent of respondents aged ?18 years who were overweight and obese (BMI>25), age-adjusted prevalence",ratio,63.4,66.8,%
,Confounding Variables,Limited Access to Healthy Foods,"Food Access Research Atlas- USDA, City Health Dashboard",2015,Data on store locations were obtained by USDA ERS from the 2015 STARS directory of stores authorized to accept SNAP benefits and the 2015 Trade Dimensions TDLinx directory of stores.55 Population data total and by race/ethnicity were obtained at the block level from US Census.,CHDB metric_number=15,"Calculated by USDA; Stores were defined as a healthy food outlet if they reported at least $2 million in annual sales, were certified to accept SNAP benefits, and sold food in all the following categories: fresh produce, fresh meat and poultry, dairy, dry and packaged goods, and frozen foods.","Percent of population living more than ½ mile from the nearest supermarket, supercenter, or large grocery store",ratio,63.1,68.7,%
,,Smoking Habits,"500 Cities Project- CDC and Robert Wood Johnson Foundation, City Health Dashboard","Annual, 2014-2017","Have you smoked at least 100 cigarettes in your life (5 packs=100)?, Do you now smoke cigarettes every day or some days?",BRFSS Q9.1 & 9.2; CHDB metric_number=22,Taken from BRFSS Prevalence & Trends Data ,Percent of respondents aged ?18 years who reported having smoked ?100 cigarettes in their lifetime and currently smoke every day or some days,ratio,16.9,14.6,%
,,Sex-Male,"American Community Survey, US Census","1YR, 5YR estimates (2017, 2013-2017)",Sex,"Table B01001, SEX",N/A,Percent of population that is male,nominal,48.8,47.9,%
,,Sex-Female,"American Community Survey, US Census","1YR, 5YR estimates (2017, 2013-2017)",Sex,"Table B01001, SEX",N/A,Percent of population that is female,nominal,51.2,52.1,%
,,Age- 18-24,"American Community Survey, US Census","1YR, 5YR estimates (2017, 2013-2017)",Age in years,"Table B01001, AGEP",Five age groups ,Percent of population that is 15-24,ordinal,13.3,13.5,%
,,Age- 25-34,"American Community Survey, US Census","1YR, 5YR estimates (2017, 2013-2017)",Age in years,"Table B01001, AGEP",Five age groups ,Percent of population that is 25-34,ordinal,15.8,17.7,%
,,Age- 35-44,"American Community Survey, US Census","1YR, 5YR estimates (2017, 2013-2017)",Age in years,"Table B01001, AGEP",Five age groups ,Percent of population that is 35-44,ordinal,12.9,15.2,%
,,Age- 45-64,"American Community Survey, US Census","1YR, 5YR estimates (2017, 2013-2017)",Age in years,"Table B01001, AGEP",Five age groups ,Percent of population that is 45-64,ordinal,24.6,23.4,%
,,Age- >65,"American Community Survey, US Census","1YR, 5YR estimates (2017, 2013-2017)",Age in years,"Table B01001, AGEP",Five age groups ,Percent of population that is >65 years old,ordinal,14.1,9.7,%
,,Race/Ethnicity- White,"American Community Survey, US Census","1YR, 5YR estimates (2017, 2013-2017)","Race- White alone, Black or African American alone, American Indian alone, Alaskan Native alone, Native Hawaiin and Pacific Islander alone, Asian alone, Some other race alone, Two or more races","Table B02001, RAC1P",Race- White alone,Percent of population that is of white race alone,nominal,76.7,52.4,%
,,Race/Ethnicity- Black or African American,"American Community Survey, US Census","1YR, 5YR estimates (2017, 2013-2017)","Race- White alone, Black or African American alone, American Indian alone, Alaskan Native alone, Native Hawaiin and Pacific Islander alone, Asian alone, Some other race alone, Two or more races","Table B02001, RAC1P",Race- Black or African American alone,Percent of population that is of black or African American race alone,nominal,4.3,36.8,%
,,Race/Ethnicity- Hispanic or Latino,"American Community Survey, US Census","1YR, 5YR estimates (2017, 2013-2017)",Hispanic or Latino Origin,Table B03003,N/A,Percent of population that is of Hispanic or Latino origin,nominal,48.5,14,%
Q3. What is the relationship between bicycle facilities and cardiovascular disease prevalence? (Analysis at city level),No additional variables will be need to be collected for Q3,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
